id,filename,category,subcategory,asset_type,variant,orientation,state,reuse_scope,native_grid,source_scale,canvas_width,canvas_height,footprint_width_tiles,footprint_height_tiles,anchor,approval_status,qa_status,component_count,component_roles,tags,source,normalized_path,notes
ambulance_01,ambulance_01.png,exterior,emergency_vehicle,ambulance,1,default,clean,hospital_only,32,8,93,100,3,2,bottom_center,approved,pass,0,,ambulance;emergency;vehicle;exterior;medical;response,source/generated/incoming/pilot_batch_c2_corrections_sheet.png,staging/pending/normalized/ambulance_01.png,Pilot Batch C2 replacement; approved left source-sheet sprite.
anesthesia_machine_01,anesthesia_machine_01.png,surgery,anesthesia,anesthesia_machine,1,default,clean,hospital_only,32,8,55,67,1,1,bottom_center,approved,pass,0,,anesthesia;machine;surgery;respiratory;wheels,source/generated/incoming/rastalr_surgery_01_operating_room_core.png,staging/pending/normalized/anesthesia_machine_01.png,Production batch 06; top-right operating-room-core sprite.
automated_chemistry_analyzer_01,automated_chemistry_analyzer_01.png,laboratory,analyzers,automated_chemistry_analyzer,1,default,clean,hospital_only,32,8,76,62,2,1,bottom_center,approved,pass,0,,laboratory;chemistry;analyzer;automation,source/generated/incoming/rastalr_laboratory_01_core_lab_equipment.png,staging/pending/normalized/automated_chemistry_analyzer_01.png,Batch 09 final laboratory sheet; distinct from laboratory_analyzer_01.
automated_medication_dispensing_cabinet_01,automated_medication_dispensing_cabinet_01.png,pharmacy,automated_dispensing,automated_medication_dispensing_cabinet,1,default,clean,hospital_only,32,8,48,65,1,1,bottom_center,approved,pass,0,,pharmacy;automated;medication;dispensing;cabinet,source/generated/incoming/rastalr_pharmacy_01_dispensing_storage.png,staging/pending/normalized/automated_medication_dispensing_cabinet_01.png,Batch 10 final pharmacy sheet.
bedside_cabinet_01,bedside_cabinet_01.png,patient_rooms,bedside_furniture,bedside_cabinet,1,default,clean,hospital_only,32,8,35,43,1,1,bottom_center,approved,pass,0,,cabinet;bedside;patient_room;storage;furniture,source/generated/incoming/pilot_batch_a_sheet.png,staging/pending/normalized/bedside_cabinet_01.png,Pilot Batch A; top-center source-sheet sprite.
bedside_cabinet_drawers_01,bedside_cabinet_drawers_01.png,patient_rooms,bedside_furniture,bedside_cabinet_drawers,1,default,clean,everyday_world_common,32,8,47,55,1,1,bottom_center,approved,pass,0,,cabinet;bedside;drawers;storage;furniture;wheels,source/generated/incoming/rastalr_prod_02_bedside_furniture.png,staging/pending/normalized/bedside_cabinet_drawers_01.png,Production batch 01; top-left bedside-furniture sheet sprite.
bedside_reading_light_01,bedside_reading_light_01.png,patient_rooms,ward_accessories,bedside_reading_light,1,default,clean,hospital_only,32,8,60,38,1,1,wall_center,approved,pass,0,,reading_light;bedside;wall;lamp;patient_room,source/generated/incoming/rastalr_prod_04_ward_monitoring_accessories.png,staging/pending/normalized/bedside_reading_light_01.png,Production batch 02; top-right ward-accessories sheet sprite.
bedside_step_01,bedside_step_01.png,patient_rooms,patient_support,bedside_step,1,default,clean,everyday_world_common,32,8,51,47,1,1,bottom_center,approved,pass,0,,bedside;step;stool;support;furniture,source/generated/incoming/rastalr_prod_05_privacy_storage_support.png,staging/pending/normalized/bedside_step_01.png,Production batch 02; bottom-right privacy-storage-support sheet sprite.
blood_pressure_monitor_01,blood_pressure_monitor_01.png,examination,diagnostics,blood_pressure_monitor,1,default,clean,hospital_only,32,8,40,60,1,1,bottom_center,approved,pass,0,,blood_pressure;monitor;diagnostic;vitals;wheels,source/generated/incoming/rastalr_exam_02_diagnostics.png,staging/pending/normalized/blood_pressure_monitor_01.png,Production batch 03; top-left diagnostics sheet sprite.
brochure_rack_01,brochure_rack_01.png,reception,information,brochure_rack,1,default,clean,everyday_world_common,32,8,42,65,1,1,bottom_center,approved,warning,0,,brochure;rack;information;lobby;display,source/generated/incoming/rastalr_reception_03_lobby_utilities.png,staging/pending/normalized/brochure_rack_01.png,Production batch 04; top-right lobby-utilities sheet sprite.
contrast_media_warmer_01,contrast_media_warmer_01.png,radiology,contrast_support,contrast_media_warmer,1,default,clean,hospital_only,32,8,48,58,1,1,bottom_center,approved,warning,0,,contrast;media;warmer,source/generated/incoming/rastalr_radiology_02_room_support.png,staging/pending/normalized/contrast_media_warmer_01.png,Batch 08.
controlled_substance_safe_01,controlled_substance_safe_01.png,pharmacy,secure_storage,controlled_substance_safe,1,default,clean,everyday_world_common,32,8,49,56,1,1,bottom_center,approved,pass,0,,safe;secure_storage;controlled_substance;pharmacy,source/generated/incoming/rastalr_pharmacy_01_dispensing_storage.png,staging/pending/normalized/controlled_substance_safe_01.png,Batch 10 final pharmacy sheet.
crash_cart_equipped_01,crash_cart_equipped_01.png,emergency,emergency_equipment,crash_cart_equipped,1,default,clean,hospital_only,32,8,51,58,1,1,bottom_center,approved,pass,0,,crash_cart;emergency;equipped;drawers;wheels;oxygen,source/generated/incoming/pilot_batch_b_sheet.png,staging/pending/normalized/crash_cart_equipped_01.png,Pilot Batch B; bottom-left source-sheet sprite.
cryogenic_storage_dewar_01,cryogenic_storage_dewar_01.png,laboratory,cryogenic_storage,cryogenic_storage_dewar,1,default,clean,hospital_only,32,8,48,64,1,1,bottom_center,approved,warning,0,,laboratory;cryogenic;dewar;cold_storage,source/generated/incoming/rastalr_laboratory_03_specialized_support.png,staging/pending/normalized/cryogenic_storage_dewar_01.png,Batch 09 final laboratory sheet.
ct_mri_coil_storage_rack_01,ct_mri_coil_storage_rack_01.png,radiology,modality_accessories,ct_mri_coil_storage_rack,1,default,clean,hospital_only,32,8,53,57,1,1,bottom_center,approved,warning,0,,ct;mri;coil;storage;rack,source/generated/incoming/rastalr_radiology_02_room_support.png,staging/pending/normalized/ct_mri_coil_storage_rack_01.png,Batch 08.
ct_scanner_01,ct_scanner_01.png,radiology,ct,ct_scanner,1,default,clean,hospital_only,32,8,60,51,2,2,bottom_center,approved,pass,0,,ct;scanner;imaging;radiology,source/generated/incoming/rastalr_radiology_01_core_imaging.png,staging/pending/normalized/ct_scanner_01.png,Batch 08.
dexa_bone_density_scanner_01,dexa_bone_density_scanner_01.png,radiology,dexa,dexa_bone_density_scanner,1,default,clean,hospital_only,32,8,60,48,2,1,bottom_center,approved,warning,0,,dexa;bone_density;scanner,source/generated/incoming/rastalr_radiology_03_specialized_imaging.png,staging/pending/normalized/dexa_bone_density_scanner_01.png,Batch 08.
doctor_stool_01,doctor_stool_01.png,examination,seating,doctor_stool,1,default,clean,everyday_world_common,32,8,45,45,1,1,bottom_center,approved,pass,0,,doctor;stool;wheeled;seating;furniture,source/generated/incoming/rastalr_exam_01_furniture.png,staging/pending/normalized/doctor_stool_01.png,Production batch 03; top-right furniture sheet sprite.
electrosurgical_smoke_evacuator_01,electrosurgical_smoke_evacuator_01.png,surgery,smoke_management,electrosurgical_smoke_evacuator,1,default,clean,hospital_only,32,8,45,58,1,1,bottom_center,approved,warning,0,,electrosurgical;smoke;evacuator;surgery;wheels,source/generated/incoming/rastalr_surgery_03_specialized_or_support.png,staging/pending/normalized/electrosurgical_smoke_evacuator_01.png,Production batch 06; bottom-left specialized-or-support sprite.
electrosurgical_unit_01,electrosurgical_unit_01.png,surgery,electrosurgery,electrosurgical_unit,1,default,clean,hospital_only,32,8,51,59,1,1,bottom_center,approved,warning,0,,electrosurgical;unit;surgery;or;wheels,source/generated/incoming/rastalr_surgery_03_specialized_or_support.png,staging/pending/normalized/electrosurgical_unit_01.png,Production batch 06; top-left specialized-or-support sprite.
emergency_blanket_warmer_01,emergency_blanket_warmer_01.png,emergency,warming,emergency_blanket_warmer,1,default,clean,hospital_only,32,8,47,58,1,1,bottom_center,approved,warning,0,,emergency;blanket;warmer;clinical;wheels,source/generated/incoming/rastalr_emergency_03_department_support.png,staging/pending/normalized/emergency_blanket_warmer_01.png,Batch 07 top-left.
emergency_decontamination_cart_01,emergency_decontamination_cart_01.png,emergency,decontamination,emergency_decontamination_cart,1,default,clean,hospital_only,32,8,54,57,1,1,bottom_center,approved,warning,0,,emergency;decontamination;cart;ppe;wheels,source/generated/incoming/rastalr_emergency_03_department_support.png,staging/pending/normalized/emergency_decontamination_cart_01.png,Batch 07 bottom-center.
emergency_defibrillator_01,emergency_defibrillator_01.png,emergency,resuscitation,emergency_defibrillator,1,default,clean,hospital_only,32,8,41,58,1,1,bottom_center,approved,pass,0,,emergency;defibrillator;resuscitation;wheels,source/generated/incoming/rastalr_emergency_01_trauma_resuscitation.png,staging/pending/normalized/emergency_defibrillator_01.png,Batch 07 top-right.
emergency_isolation_transport_stretcher_01,emergency_isolation_transport_stretcher_01.png,emergency,isolation_transport,emergency_isolation_transport_stretcher,1,default,clean,hospital_only,32,8,60,48,2,1,bottom_center,approved,warning,0,,emergency;isolation;transport;stretcher;wheels,source/generated/incoming/rastalr_emergency_03_department_support.png,staging/pending/normalized/emergency_isolation_transport_stretcher_01.png,Batch 07 top-center.
